 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
230414B	16:14:21	181.071	53.127	3	NA	NA	NA	NA	NA
230409B	04:56:57	329.516	52.832	1.7	9.79	9.9	1.2	3.7	0.5
230405B	19:58:03	271.467	-47.070	3	NA	NA	NA	NA	NA
230328B	14:54:48	291.037	80.013	1.0	19.23	43	2	8.4	0.5
230325A	03:15:35	296.854	-46.067	1.5	38.05	13	2	3.3	0.4
230322B	21:10:37	16.550	-47.709	1.7	11.61	3.7	0.6	1.1	0.2
230228A	05:50:50	18.397	44.495	1.5	2.18	3.6	0.4	3.0	0.4
230217A	21:53:10	280.759	-28.840	1.3	1.30	23	2	20.2	1.5
230216A	14:48:34	113.966	-7.993	2.1	91.20	13	2	1.2	0.3
230205A	10:29:51	202.057	46.686	2.3	2.30	1.6	0.3	0.9	0.2
230204A	02:56:57	238.166	-50.848	2.4	182.05	37	3	0.9	0.2
230123A	10:19:44	40.905	-65.661	1.8	5.37	2.7	0.4	1.1	0.2
230116D	21:04:43	98.584	49.831	2.9	41.00	8.12	1.2	0.6	0.2
230116C	15:33:21	223.467	-16.883	1.4	316.77	61	5	0.8	0.3
221231A	21:46:05	336.260	25.138	5	NA	NA	NA	NA	NA
221226B	22:41:20	22.903	-41.515	1.2	3.44	5.4	0.5	2.6	0.3
221216A	11:21:20	326.023	-34.394	1.3	174.48	46	3	1.8	0.2
221215A	04:14:27	155.056	46.873	3	NA	NA	NA	NA	NA
221206B	12:22:47	251.155	42.671	4	NA	NA	NA	NA	NA
221202A	20:06:10	77.002	-59.836	2.1	10.34	3.2	0.6	0.7	0.2
221201A	12:25:05	266.903	-68.230	1.0	33.71	86	2	11.2	0.6
221120A	21:29:28	41.363	43.241	1.8	0.79	1.1	0.2	1.2	0.2
221110A	02:28:17	29.106	-27.298	1.5	8.98	5.1	0.5	1.1	0.2
221028A	13:16:27	314.198	41.082	1.6	57.1	15.1	1.4	0.8	0.2
221027B	19:13:38	225.601	47.451	1.6	8.66	5.8	0.6	3.4	0.4
221024A	13:00:27	169.702	33.068	2.9	120	15	2	1.5	0.3
221022A	19:33:33	118.342	-5.117	5	NA	NA	NA	NA	NA
221016A	23:39:24	38.938	-34.615	1.0	21.86	23	1	3.4	0.3
221009A	14:10:17	288.254	19.809	2.4	1068.40	740	10	1.9	0.3
220930A	11:11:52	64.725	13.353	1.7	180.47	55	4	6.2	1.0
220909A	06:52:13	216.0448	-8.8551	3	NA	NA	NA	NA	NA
220907A	14:05:25	268.869	-20.303	1.9	8.49	4.1	0.6	1.0	0.2
220831A	13:56:33	24.2550	-41.5818	2	NA	NA	NA	NA	NA
220826A	11:55:21	206.421	-44.036	1.1	11.14	12	1	2.6	0.2
220813A	19:23:03	81.501	-32.985	3	NA	NA	NA	NA	NA
220806A	18:08:39	260.858	-26.021	2.0	4.78	1.5	0.3	1.1	0.2
220730A	15:48:55	224.988	-69.496	1.7	0.19	1.6	0.2	1.6	0.3
220715B	22:24:42	254.860	-33.586	1.1	40.40	12	1	1.3	0.2
220714B	13:58:04	47.086	-19.321	1.3	50.10	44	1	3.8	0.2
220711B	18:16:28	262.018	24.674	1.3	88.64	60	3	2.0	0.4
220710A	03:29:34	221.592	20.657	2	NA	NA	NA	NA	NA
220708B	02:06:57	248.652	36.338	5	NA	NA	NA	NA	NA
220708A	04:39:29	103.038	72.199	2.2	4.4	1.3	0.3	0.8	0.2
220706A	16:09:14	0.577	-16.411	1.8	86.9	14	1	0.9	0.2
220701A	04:52:58	242.474	55.436	2.5	5.77	1.8	0.4	0.7	0.2
220623A	07:04:14	145.459	75.823	1.0	57.11	35	1	4.5	0.2
220618A	09:10:29	38.986	55.218	2.0	96.00	22	3	0.8	0.4
220611A	18:01:51	66.505	-37.265	2.1	57.00	6.7	1.3	NA	NA
220606B	01:03:28	28.474	-54.471	5	NA	NA	NA	NA	NA
220521A	23:20:21	275.218	10.372	1.7	13.55	8.1	0.8	4.7	0.4
220518A	06:19:20	55.340	-47.593	2.0	12.29	5.7	0.8	1.8	0.3
220511A	13:47:57	287.446	17.739	7	NA	NA	NA	NA	NA
220501A	19:51:51	85.583	14.010	1.6	202.24	22	2	1.2	0.2
220430A	13:53:15	97.616	9.547	1.0	43.10	440	5	29.6	0.6
220427A	21:00:34	275.922	-56.257	2.0	57.2	21	2	3.0	0.3
220418B	17:16:21	224.344	-17.539	3	NA	NA	NA	NA	NA
220412B	17:06:49	320.758	-0.261	1.6	0.14	0.89	0.12	1.0	0.2
220412A	06:36:50	123.975	30.336	1.9	41.66	5.9	0.9	0.5	0.1
220408A	05:46:04	202.399	47.065	1.2	17.25	12	1	4.9	0.4
220404A	11:54:30	50.413	10.001	2.7	2.54	1.4	0.3	1.1	0.3
220403B	20:42:42	190.974	89.180	1.0	27.0	37	1	2.7	0.3
220325A	17:16:23	269.469	-7.055	1.5	3.50	2.9	0.4	2.0	0.3
220319A	17:40:33	218.139	61.291	1.9	6.44	2.3	0.4	1.5	0.2
220306B	18:15:37	5.380	71.384	1.6	12.34	6.0	0.7	2.3	0.3
220305A	16:13:08	107.610	-37.703	1.5	21.12	20	2	2.1	0.5
220302A	07:40:19	301.432	49.389	3	NA	NA	NA	NA	NA
220218A	22:28:59	133.830	31.984	3	NA	NA	NA	NA	NA
220210A	23:56:38	345.778	61.826	2	NA	NA	NA	NA	NA
220118A	18:20:38	192.277	22.911	1.4	10.61	18	1	3.3	0.5
